"bcr_patient_barcode","dataset","GATA3","PTEN","XBP1","ESR1","MUC1","FN1","GAPDH"
"BRCA1","BRCA",2.8705,1.36135714285714,2.98333333333333,3.08425,1.652125,1.733375,-1.62916666666667
"BRCA2","BRCA",2.16625,0.428357142857143,2.55083333333333,2.386,3.08025,0.217625,-0.951166666666667
"BRCA3","BRCA",1.3235,1.30564285714286,3.02041666666667,0.79125,2.98525,2.50808333333333,-1.29883333333333
"BRCA4","BRCA",1.841625,0.809642857142857,3.13133333333333,2.49541666666667,-1.9185,-0.219708333333333,-0.820666666666667
"BRCA5","BRCA",-6.02525,0.250857142857143,-1.45175,-4.86066666666667,-1.1715,-0.477375,1.29458333333333
"BRCA6","BRCA",1.8045,1.31078571428571,4.04108333333333,2.797,3.52975,1.24545833333333,-0.0521666666666666
"BRCA7","BRCA",-4.87925,-0.236928571428571,-0.72475,-4.48608333333333,-1.45575,-1.96995833333333,-0.777
"BRCA8","BRCA",-3.14325,-1.24321428571429,-1.19308333333333,-1.62741666666667,-0.98675,-0.458541666666667,1.0845
"BRCA9","BRCA",2.034,1.20742857142857,2.27883333333333,4.11558333333333,0.668,0.765708333333333,-2.01008333333333
"BRCA10","BRCA",-0.293125,0.288357142857143,-1.60508333333333,0.473166666666667,0.0115,-0.260125,-0.242916666666667
"BRCA11","BRCA",-0.802625,-0.165785714285714,0.329416666666667,-1.80158333333333,1.0395,0.687875,-1.21333333333333
"BRCA12","BRCA",2.646375,0.585357142857143,3.05633333333333,3.84525,1.894875,1.23108333333333,-1.37158333333333
"BRCA13","BRCA",-2.315375,-0.00171428571428569,-1.18083333333333,-3.24466666666667,-0.6775,-1.08841666666667,-0.411166666666667
"BRCA14","BRCA",-3.758125,0.458571428571429,-2.43825,-4.21433333333333,-1.367375,-0.106333333333333,-0.7525
"BRCA15","BRCA",3.93,0.7145,2.08591666666667,4.07166666666667,1.26175,1.19295833333333,-1.46975
"BRCA16","BRCA",-1.28125,0.367,1.71858333333333,-1.46258333333333,1.999625,0.825416666666667,-0.591583333333333
"BRCA17","BRCA",1.619375,0.924,2.00641666666667,0.917333333333333,4.118375,-0.656833333333333,-1.31975
"BRCA18","BRCA",1.87025,-0.0349285714285715,1.18116666666667,3.01266666666667,1.899625,-0.687958333333333,-1.09183333333333
"BRCA19","BRCA",1.470375,0.146,1.50983333333333,0.43225,-0.475375,0.267958333333333,-0.8205
"BRCA20","BRCA",-2.95925,1.35628571428571,-1.14491666666667,-1.44283333333333,1.45475,0.038,-0.857916666666667
"BRCA21","BRCA",2.34725,0.934642857142857,0.960666666666667,2.85416666666667,1.58325,1.03070833333333,-1.35308333333333
"BRCA22","BRCA",2.456625,0.643,2.44658333333333,4.35833333333333,2.863875,-0.90575,-1.54791666666667
"BRCA23","BRCA",3.36942857142857,-0.145,2.453,4.52125,3.0375,0.816083333333333,-1.494
"BRCA24","BRCA",2.977875,0.269928571428571,3.18941666666667,3.98691666666667,-0.1495,-0.663666666666667,-1.45683333333333
"BRCA25","BRCA",2.26375,0.473285714285714,2.78441666666667,5.1325,1.2825,-0.457791666666667,-1.25791666666667
"BRCA26","BRCA",1.992,0.977357142857143,1.43816666666667,3.63908333333333,3.01225,-0.45125,-2.12508333333333
"BRCA27","BRCA",1.543125,0.457214285714286,1.61925,4.52616666666667,-0.24525,-1.01079166666667,-0.978583333333333
"BRCA28","BRCA",1.477875,0.864142857142857,1.03158333333333,-1.27158333333333,2.025625,1.07341666666667,-1.131
"BRCA29","BRCA",0.043375,0.641,1.14258333333333,4.39041666666667,2.65825,1.6785,-0.14275
"BRCA30","BRCA",2.30575,0.981785714285714,0.420666666666667,1.66408333333333,1.551125,1.753375,-1.6305
"BRCA31","BRCA",-2.202125,0.335,-1.81375,-4.62591666666667,1.01375,-0.220791666666667,-0.55375
